age,food
70,อาหารอ่อน ย่อยง่าย
2,นมแม่
64,อาหารอ่อน ย่อยง่าย
59,อาหารควบคุมสุขภาพ
45,อาหารควบคุมสุขภาพ
30,อาหารปกติ (วัยทำงาน)
88,โจ๊ก ผลไม้เนื้อนิ่ม
76,อาหารอ่อน ย่อยง่าย
1,นมแม่
14,อาหารทั่วไป (วัยเด็ก)
7,ข้าวต้ม
91,โจ๊ก ผลไม้เนื้อนิ่ม
29,อาหารปกติ (วัยทำงาน)
29,อาหารปกติ (วัยทำงาน)
26,อาหารปกติ (วัยทำงาน)
34,อาหารปกติ (วัยทำงาน)
55,อาหารควบคุมสุขภาพ
66,อาหารอ่อน ย่อยง่าย
7,ข้าวต้ม
41,อาหารควบคุมสุขภาพ
56,อาหารควบคุมสุขภาพ
86,โจ๊ก ผลไม้เนื้อนิ่ม
81,โจ๊ก ผลไม้เนื้อนิ่ม
55,อาหารควบคุมสุขภาพ
63,อาหารอ่อน ย่อยง่าย
86,โจ๊ก ผลไม้เนื้อนิ่ม
53,อาหารควบคุมสุขภาพ
52,อาหารควบคุมสุขภาพ
31,อาหารปกติ (วัยทำงาน)
29,อาหารปกติ (วัยทำงาน)
87,โจ๊ก ผลไม้เนื้อนิ่ม
43,อาหารควบคุมสุขภาพ
21,อาหารปกติ (วัยทำงาน)
98,โจ๊ก ผลไม้เนื้อนิ่ม
92,โจ๊ก ผลไม้เนื้อนิ่ม
82,โจ๊ก ผลไม้เนื้อนิ่ม
10,ข้าวต้ม
64,อาหารอ่อน ย่อยง่าย
2,นมแม่
57,อาหารควบคุมสุขภาพ
12,อาหารทั่วไป (วัยเด็ก)
87,โจ๊ก ผลไม้เนื้อนิ่ม
49,อาหารควบคุมสุขภาพ
23,อาหารปกติ (วัยทำงาน)
55,อาหารควบคุมสุขภาพ
35,อาหารปกติ (วัยทำงาน)
79,อาหารอ่อน ย่อยง่าย
96,โจ๊ก ผลไม้เนื้อนิ่ม
23,อาหารปกติ (วัยทำงาน)
47,อาหารควบคุมสุขภาพ
73,อาหารอ่อน ย่อยง่าย
18,อาหารทั่วไป (วัยเด็ก)
4,ข้าวบดละเอียด
6,ข้าวต้ม
69,อาหารอ่อน ย่อยง่าย
50,อาหารควบคุมสุขภาพ
24,อาหารปกติ (วัยทำงาน)
90,โจ๊ก ผลไม้เนื้อนิ่ม
22,อาหารปกติ (วัยทำงาน)
17,อาหารทั่วไป (วัยเด็ก)
92,โจ๊ก ผลไม้เนื้อนิ่ม
71,อาหารอ่อน ย่อยง่าย
68,อาหารอ่อน ย่อยง่าย
35,อาหารปกติ (วัยทำงาน)
9,ข้าวต้ม
96,โจ๊ก ผลไม้เนื้อนิ่ม
36,อาหารปกติ (วัยทำงาน)
87,โจ๊ก ผลไม้เนื้อนิ่ม
93,โจ๊ก ผลไม้เนื้อนิ่ม
58,อาหารควบคุมสุขภาพ
78,อาหารอ่อน ย่อยง่าย
52,อาหารควบคุมสุขภาพ
35,อาหารปกติ (วัยทำงาน)
1,นมแม่
48,อาหารควบคุมสุขภาพ
97,โจ๊ก ผลไม้เนื้อนิ่ม
10,ข้าวต้ม
98,โจ๊ก ผลไม้เนื้อนิ่ม
71,อาหารอ่อน ย่อยง่าย
73,อาหารอ่อน ย่อยง่าย
21,อาหารปกติ (วัยทำงาน)
4,ข้าวบดละเอียด
86,โจ๊ก ผลไม้เนื้อนิ่ม
39,อาหารปกติ (วัยทำงาน)
82,โจ๊ก ผลไม้เนื้อนิ่ม
60,อาหารควบคุมสุขภาพ
2,นมแม่
92,โจ๊ก ผลไม้เนื้อนิ่ม
21,อาหารปกติ (วัยทำงาน)
21,อาหารปกติ (วัยทำงาน)
19,อาหารทั่วไป (วัยเด็ก)
25,อาหารปกติ (วัยทำงาน)
20,อาหารทั่วไป (วัยเด็ก)
56,อาหารควบคุมสุขภาพ
18,อาหารทั่วไป (วัยเด็ก)
43,อาหารควบคุมสุขภาพ
35,อาหารปกติ (วัยทำงาน)
65,อาหารอ่อน ย่อยง่าย
67,อาหารอ่อน ย่อยง่าย
27,อาหารปกติ (วัยทำงาน)
50,อาหารควบคุมสุขภาพ
2,นมแม่
20,อาหารทั่วไป (วัยเด็ก)
62,อาหารอ่อน ย่อยง่าย
56,อาหารควบคุมสุขภาพ
70,อาหารอ่อน ย่อยง่าย
71,อาหารอ่อน ย่อยง่าย
76,อาหารอ่อน ย่อยง่าย
85,โจ๊ก ผลไม้เนื้อนิ่ม
21,อาหารปกติ (วัยทำงาน)
19,อาหารทั่วไป (วัยเด็ก)
5,ข้าวบดละเอียด
99,โจ๊ก ผลไม้เนื้อนิ่ม
13,อาหารทั่วไป (วัยเด็ก)
76,อาหารอ่อน ย่อยง่าย
57,อาหารควบคุมสุขภาพ
13,อาหารทั่วไป (วัยเด็ก)
40,อาหารปกติ (วัยทำงาน)
91,โจ๊ก ผลไม้เนื้อนิ่ม
88,โจ๊ก ผลไม้เนื้อนิ่ม
1,นมแม่
3,ข้าวบดละเอียด
79,อาหารอ่อน ย่อยง่าย
48,อาหารควบคุมสุขภาพ
75,อาหารอ่อน ย่อยง่าย
89,โจ๊ก ผลไม้เนื้อนิ่ม
67,อาหารอ่อน ย่อยง่าย
13,อาหารทั่วไป (วัยเด็ก)
64,อาหารอ่อน ย่อยง่าย
100,โจ๊ก ผลไม้เนื้อนิ่ม
97,โจ๊ก ผลไม้เนื้อนิ่ม
78,อาหารอ่อน ย่อยง่าย
93,โจ๊ก ผลไม้เนื้อนิ่ม
71,อาหารอ่อน ย่อยง่าย
61,อาหารอ่อน ย่อยง่าย
44,อาหารควบคุมสุขภาพ
11,อาหารทั่วไป (วัยเด็ก)
11,อาหารทั่วไป (วัยเด็ก)
92,โจ๊ก ผลไม้เนื้อนิ่ม
34,อาหารปกติ (วัยทำงาน)
15,อาหารทั่วไป (วัยเด็ก)
91,โจ๊ก ผลไม้เนื้อนิ่ม
62,อาหารอ่อน ย่อยง่าย
7,ข้าวต้ม
51,อาหารควบคุมสุขภาพ
19,อาหารทั่วไป (วัยเด็ก)
40,อาหารปกติ (วัยทำงาน)
26,อาหารปกติ (วัยทำงาน)
98,โจ๊ก ผลไม้เนื้อนิ่ม
53,อาหารควบคุมสุขภาพ
79,อาหารอ่อน ย่อยง่าย
20,อาหารทั่วไป (วัยเด็ก)
43,อาหารควบคุมสุขภาพ
39,อาหารปกติ (วัยทำงาน)
31,อาหารปกติ (วัยทำงาน)
30,อาหารปกติ (วัยทำงาน)
38,อาหารปกติ (วัยทำงาน)
44,อาหารควบคุมสุขภาพ
55,อาหารควบคุมสุขภาพ
71,อาหารอ่อน ย่อยง่าย
84,โจ๊ก ผลไม้เนื้อนิ่ม
73,อาหารอ่อน ย่อยง่าย
5,ข้าวบดละเอียด
86,โจ๊ก ผลไม้เนื้อนิ่ม
12,อาหารทั่วไป (วัยเด็ก)
86,โจ๊ก ผลไม้เนื้อนิ่ม
55,อาหารควบคุมสุขภาพ
89,โจ๊ก ผลไม้เนื้อนิ่ม
48,อาหารควบคุมสุขภาพ
79,อาหารอ่อน ย่อยง่าย
95,โจ๊ก ผลไม้เนื้อนิ่ม
44,อาหารควบคุมสุขภาพ
29,อาหารปกติ (วัยทำงาน)
15,อาหารทั่วไป (วัยเด็ก)
7,ข้าวต้ม
15,อาหารทั่วไป (วัยเด็ก)
7,ข้าวต้ม
9,ข้าวต้ม
31,อาหารปกติ (วัยทำงาน)
49,อาหารควบคุมสุขภาพ
12,อาหารทั่วไป (วัยเด็ก)
62,อาหารอ่อน ย่อยง่าย
22,อาหารปกติ (วัยทำงาน)
33,อาหารปกติ (วัยทำงาน)
99,โจ๊ก ผลไม้เนื้อนิ่ม
4,ข้าวบดละเอียด
68,อาหารอ่อน ย่อยง่าย
80,อาหารอ่อน ย่อยง่าย
73,อาหารอ่อน ย่อยง่าย
58,อาหารควบคุมสุขภาพ
10,ข้าวต้ม
65,อาหารอ่อน ย่อยง่าย
49,อาหารควบคุมสุขภาพ
36,อาหารปกติ (วัยทำงาน)
84,โจ๊ก ผลไม้เนื้อนิ่ม
22,อาหารปกติ (วัยทำงาน)
90,โจ๊ก ผลไม้เนื้อนิ่ม
17,อาหารทั่วไป (วัยเด็ก)
7,ข้าวต้ม
82,โจ๊ก ผลไม้เนื้อนิ่ม
39,อาหารปกติ (วัยทำงาน)
42,อาหารควบคุมสุขภาพ
45,อาหารควบคุมสุขภาพ
5,ข้าวบดละเอียด
96,โจ๊ก ผลไม้เนื้อนิ่ม
81,โจ๊ก ผลไม้เนื้อนิ่ม
44,อาหารควบคุมสุขภาพ
16,อาหารทั่วไป (วัยเด็ก)
12,อาหารทั่วไป (วัยเด็ก)
2,นมแม่
22,อาหารปกติ (วัยทำงาน)
39,อาหารปกติ (วัยทำงาน)
30,อาหารปกติ (วัยทำงาน)
59,อาหารควบคุมสุขภาพ
88,โจ๊ก ผลไม้เนื้อนิ่ม
87,โจ๊ก ผลไม้เนื้อนิ่ม
24,อาหารปกติ (วัยทำงาน)
41,อาหารควบคุมสุขภาพ
25,อาหารปกติ (วัยทำงาน)
47,อาหารควบคุมสุขภาพ
7,ข้าวต้ม
17,อาหารทั่วไป (วัยเด็ก)
9,ข้าวต้ม
22,อาหารปกติ (วัยทำงาน)
86,โจ๊ก ผลไม้เนื้อนิ่ม
96,โจ๊ก ผลไม้เนื้อนิ่ม
33,อาหารปกติ (วัยทำงาน)
21,อาหารปกติ (วัยทำงาน)
61,อาหารอ่อน ย่อยง่าย
40,อาหารปกติ (วัยทำงาน)
17,อาหารทั่วไป (วัยเด็ก)
56,อาหารควบคุมสุขภาพ
82,โจ๊ก ผลไม้เนื้อนิ่ม
7,ข้าวต้ม
53,อาหารควบคุมสุขภาพ
49,อาหารควบคุมสุขภาพ
82,โจ๊ก ผลไม้เนื้อนิ่ม
49,อาหารควบคุมสุขภาพ
50,อาหารควบคุมสุขภาพ
62,อาหารอ่อน ย่อยง่าย
93,โจ๊ก ผลไม้เนื้อนิ่ม
93,โจ๊ก ผลไม้เนื้อนิ่ม
76,อาหารอ่อน ย่อยง่าย
37,อาหารปกติ (วัยทำงาน)
1,นมแม่
11,อาหารทั่วไป (วัยเด็ก)
69,อาหารอ่อน ย่อยง่าย
83,โจ๊ก ผลไม้เนื้อนิ่ม
100,โจ๊ก ผลไม้เนื้อนิ่ม
25,อาหารปกติ (วัยทำงาน)
6,ข้าวต้ม
78,อาหารอ่อน ย่อยง่าย
39,อาหารปกติ (วัยทำงาน)
28,อาหารปกติ (วัยทำงาน)
94,โจ๊ก ผลไม้เนื้อนิ่ม
22,อาหารปกติ (วัยทำงาน)
29,อาหารปกติ (วัยทำงาน)
71,อาหารอ่อน ย่อยง่าย
55,อาหารควบคุมสุขภาพ
59,อาหารควบคุมสุขภาพ
27,อาหารปกติ (วัยทำงาน)
49,อาหารควบคุมสุขภาพ
44,อาหารควบคุมสุขภาพ
50,อาหารควบคุมสุขภาพ
59,อาหารควบคุมสุขภาพ
72,อาหารอ่อน ย่อยง่าย
39,อาหารปกติ (วัยทำงาน)
95,โจ๊ก ผลไม้เนื้อนิ่ม
84,โจ๊ก ผลไม้เนื้อนิ่ม
71,อาหารอ่อน ย่อยง่าย
25,อาหารปกติ (วัยทำงาน)
93,โจ๊ก ผลไม้เนื้อนิ่ม
53,อาหารควบคุมสุขภาพ
1,นมแม่
80,อาหารอ่อน ย่อยง่าย
16,อาหารทั่วไป (วัยเด็ก)
32,อาหารปกติ (วัยทำงาน)
94,โจ๊ก ผลไม้เนื้อนิ่ม
70,อาหารอ่อน ย่อยง่าย
24,อาหารปกติ (วัยทำงาน)
40,อาหารปกติ (วัยทำงาน)
21,อาหารปกติ (วัยทำงาน)
57,อาหารควบคุมสุขภาพ
31,อาหารปกติ (วัยทำงาน)
98,โจ๊ก ผลไม้เนื้อนิ่ม
71,อาหารอ่อน ย่อยง่าย
7,ข้าวต้ม
35,อาหารปกติ (วัยทำงาน)
84,โจ๊ก ผลไม้เนื้อนิ่ม
54,อาหารควบคุมสุขภาพ
38,อาหารปกติ (วัยทำงาน)
27,อาหารปกติ (วัยทำงาน)
15,อาหารทั่วไป (วัยเด็ก)
70,อาหารอ่อน ย่อยง่าย
35,อาหารปกติ (วัยทำงาน)
80,อาหารอ่อน ย่อยง่าย
86,โจ๊ก ผลไม้เนื้อนิ่ม
17,อาหารทั่วไป (วัยเด็ก)
86,โจ๊ก ผลไม้เนื้อนิ่ม
85,โจ๊ก ผลไม้เนื้อนิ่ม
88,โจ๊ก ผลไม้เนื้อนิ่ม
14,อาหารทั่วไป (วัยเด็ก)
56,อาหารควบคุมสุขภาพ
19,อาหารทั่วไป (วัยเด็ก)
87,โจ๊ก ผลไม้เนื้อนิ่ม
47,อาหารควบคุมสุขภาพ
63,อาหารอ่อน ย่อยง่าย
22,อาหารปกติ (วัยทำงาน)
84,โจ๊ก ผลไม้เนื้อนิ่ม
37,อาหารปกติ (วัยทำงาน)
50,อาหารควบคุมสุขภาพ
35,อาหารปกติ (วัยทำงาน)
74,อาหารอ่อน ย่อยง่าย
54,อาหารควบคุมสุขภาพ
67,อาหารอ่อน ย่อยง่าย
72,อาหารอ่อน ย่อยง่าย
80,อาหารอ่อน ย่อยง่าย
25,อาหารปกติ (วัยทำงาน)
84,โจ๊ก ผลไม้เนื้อนิ่ม
39,อาหารปกติ (วัยทำงาน)
26,อาหารปกติ (วัยทำงาน)
22,อาหารปกติ (วัยทำงาน)
7,ข้าวต้ม
67,อาหารอ่อน ย่อยง่าย
60,อาหารควบคุมสุขภาพ
3,ข้าวบดละเอียด
5,ข้าวบดละเอียด
26,อาหารปกติ (วัยทำงาน)
61,อาหารอ่อน ย่อยง่าย
42,อาหารควบคุมสุขภาพ
85,โจ๊ก ผลไม้เนื้อนิ่ม
37,อาหารปกติ (วัยทำงาน)
27,อาหารปกติ (วัยทำงาน)
32,อาหารปกติ (วัยทำงาน)
64,อาหารอ่อน ย่อยง่าย
52,อาหารควบคุมสุขภาพ
3,ข้าวบดละเอียด
77,อาหารอ่อน ย่อยง่าย
85,โจ๊ก ผลไม้เนื้อนิ่ม
89,โจ๊ก ผลไม้เนื้อนิ่ม
18,อาหารทั่วไป (วัยเด็ก)
50,อาหารควบคุมสุขภาพ
7,ข้าวต้ม
7,ข้าวต้ม
94,โจ๊ก ผลไม้เนื้อนิ่ม
70,อาหารอ่อน ย่อยง่าย
79,อาหารอ่อน ย่อยง่าย
99,โจ๊ก ผลไม้เนื้อนิ่ม
16,อาหารทั่วไป (วัยเด็ก)
60,อาหารควบคุมสุขภาพ
83,โจ๊ก ผลไม้เนื้อนิ่ม
21,อาหารปกติ (วัยทำงาน)
6,ข้าวต้ม
2,นมแม่
21,อาหารปกติ (วัยทำงาน)
56,อาหารควบคุมสุขภาพ
6,ข้าวต้ม
4,ข้าวบดละเอียด
30,อาหารปกติ (วัยทำงาน)
41,อาหารควบคุมสุขภาพ
55,อาหารควบคุมสุขภาพ
89,โจ๊ก ผลไม้เนื้อนิ่ม
99,โจ๊ก ผลไม้เนื้อนิ่ม
51,อาหารควบคุมสุขภาพ
55,อาหารควบคุมสุขภาพ
5,ข้าวบดละเอียด
75,อาหารอ่อน ย่อยง่าย
73,อาหารอ่อน ย่อยง่าย
33,อาหารปกติ (วัยทำงาน)
14,อาหารทั่วไป (วัยเด็ก)
40,อาหารปกติ (วัยทำงาน)
13,อาหารทั่วไป (วัยเด็ก)
8,ข้าวต้ม
87,โจ๊ก ผลไม้เนื้อนิ่ม
81,โจ๊ก ผลไม้เนื้อนิ่ม
35,อาหารปกติ (วัยทำงาน)
44,อาหารควบคุมสุขภาพ
13,อาหารทั่วไป (วัยเด็ก)
68,อาหารอ่อน ย่อยง่าย
82,โจ๊ก ผลไม้เนื้อนิ่ม
17,อาหารทั่วไป (วัยเด็ก)
86,โจ๊ก ผลไม้เนื้อนิ่ม
22,อาหารปกติ (วัยทำงาน)
17,อาหารทั่วไป (วัยเด็ก)
63,อาหารอ่อน ย่อยง่าย
63,อาหารอ่อน ย่อยง่าย
4,ข้าวบดละเอียด
78,อาหารอ่อน ย่อยง่าย
85,โจ๊ก ผลไม้เนื้อนิ่ม
94,โจ๊ก ผลไม้เนื้อนิ่ม
15,อาหารทั่วไป (วัยเด็ก)
18,อาหารทั่วไป (วัยเด็ก)
54,อาหารควบคุมสุขภาพ
54,อาหารควบคุมสุขภาพ
85,โจ๊ก ผลไม้เนื้อนิ่ม
49,อาหารควบคุมสุขภาพ
31,อาหารปกติ (วัยทำงาน)
56,อาหารควบคุมสุขภาพ
23,อาหารปกติ (วัยทำงาน)
13,อาหารทั่วไป (วัยเด็ก)
100,โจ๊ก ผลไม้เนื้อนิ่ม
35,อาหารปกติ (วัยทำงาน)
18,อาหารทั่วไป (วัยเด็ก)
2,นมแม่
99,โจ๊ก ผลไม้เนื้อนิ่ม
67,อาหารอ่อน ย่อยง่าย
70,อาหารอ่อน ย่อยง่าย
63,อาหารอ่อน ย่อยง่าย
19,อาหารทั่วไป (วัยเด็ก)
89,โจ๊ก ผลไม้เนื้อนิ่ม
35,อาหารปกติ (วัยทำงาน)
41,อาหารควบคุมสุขภาพ
44,อาหารควบคุมสุขภาพ
85,โจ๊ก ผลไม้เนื้อนิ่ม
53,อาหารควบคุมสุขภาพ
71,อาหารอ่อน ย่อยง่าย
21,อาหารปกติ (วัยทำงาน)
14,อาหารทั่วไป (วัยเด็ก)
64,อาหารอ่อน ย่อยง่าย
11,อาหารทั่วไป (วัยเด็ก)
2,นมแม่
18,อาหารทั่วไป (วัยเด็ก)
45,อาหารควบคุมสุขภาพ
6,ข้าวต้ม
75,อาหารอ่อน ย่อยง่าย
88,โจ๊ก ผลไม้เนื้อนิ่ม
8,ข้าวต้ม
59,อาหารควบคุมสุขภาพ
99,โจ๊ก ผลไม้เนื้อนิ่ม
14,อาหารทั่วไป (วัยเด็ก)
53,อาหารควบคุมสุขภาพ
58,อาหารควบคุมสุขภาพ
58,อาหารควบคุมสุขภาพ
85,โจ๊ก ผลไม้เนื้อนิ่ม
3,ข้าวบดละเอียด
78,อาหารอ่อน ย่อยง่าย
18,อาหารทั่วไป (วัยเด็ก)
68,อาหารอ่อน ย่อยง่าย
9,ข้าวต้ม
20,อาหารทั่วไป (วัยเด็ก)
78,อาหารอ่อน ย่อยง่าย
68,อาหารอ่อน ย่อยง่าย
1,นมแม่
5,ข้าวบดละเอียด
63,อาหารอ่อน ย่อยง่าย
32,อาหารปกติ (วัยทำงาน)
26,อาหารปกติ (วัยทำงาน)
94,โจ๊ก ผลไม้เนื้อนิ่ม
59,อาหารควบคุมสุขภาพ
40,อาหารปกติ (วัยทำงาน)
37,อาหารปกติ (วัยทำงาน)
13,อาหารทั่วไป (วัยเด็ก)
32,อาหารปกติ (วัยทำงาน)
14,อาหารทั่วไป (วัยเด็ก)
62,อาหารอ่อน ย่อยง่าย
81,โจ๊ก ผลไม้เนื้อนิ่ม
44,อาหารควบคุมสุขภาพ
24,อาหารปกติ (วัยทำงาน)
73,อาหารอ่อน ย่อยง่าย
61,อาหารอ่อน ย่อยง่าย
44,อาหารควบคุมสุขภาพ
16,อาหารทั่วไป (วัยเด็ก)
58,อาหารควบคุมสุขภาพ
14,อาหารทั่วไป (วัยเด็ก)
51,อาหารควบคุมสุขภาพ
96,โจ๊ก ผลไม้เนื้อนิ่ม
99,โจ๊ก ผลไม้เนื้อนิ่ม
100,โจ๊ก ผลไม้เนื้อนิ่ม
78,อาหารอ่อน ย่อยง่าย
59,อาหารควบคุมสุขภาพ
31,อาหารปกติ (วัยทำงาน)
45,อาหารควบคุมสุขภาพ
57,อาหารควบคุมสุขภาพ
36,อาหารปกติ (วัยทำงาน)
52,อาหารควบคุมสุขภาพ
63,อาหารอ่อน ย่อยง่าย
97,โจ๊ก ผลไม้เนื้อนิ่ม
29,อาหารปกติ (วัยทำงาน)
57,อาหารควบคุมสุขภาพ
4,ข้าวบดละเอียด
41,อาหารควบคุมสุขภาพ
9,ข้าวต้ม
71,อาหารอ่อน ย่อยง่าย
28,อาหารปกติ (วัยทำงาน)
5,ข้าวบดละเอียด
32,อาหารปกติ (วัยทำงาน)
65,อาหารอ่อน ย่อยง่าย
95,โจ๊ก ผลไม้เนื้อนิ่ม
93,โจ๊ก ผลไม้เนื้อนิ่ม
94,โจ๊ก ผลไม้เนื้อนิ่ม
73,อาหารอ่อน ย่อยง่าย
98,โจ๊ก ผลไม้เนื้อนิ่ม
43,อาหารควบคุมสุขภาพ
22,อาหารปกติ (วัยทำงาน)
70,อาหารอ่อน ย่อยง่าย
14,อาหารทั่วไป (วัยเด็ก)
90,โจ๊ก ผลไม้เนื้อนิ่ม
32,อาหารปกติ (วัยทำงาน)
93,โจ๊ก ผลไม้เนื้อนิ่ม
9,ข้าวต้ม
